ID,player_type,winner?,Total_Money,Money_from_GO,Money_from_Chest,Money_from_properties,Starting_Pos,num_moves,Passed_go,Jail,Properties,Chest_Cards
1.0,greedy,True,11000.0,4000.0,2000.0,9000.0,0.0,34.0,4.0,2.0,"[3, 6, 7, 12, 15, 22, 18, 26, 23]","[8, 3, 7]"
2.0,strategic,False,11000.0,4000.0,2000.0,8000.0,0.0,27.0,4.0,2.0,"[3, 5, 11, 17, 20, 21, 4, 19]","[1, 9, 4]"
3.0,conservative,False,9000.0,4000.0,0.0,0.0,0.0,41.0,4.0,0.0,[],"[5, 11, 2]"
,,,,,,,,,,,,
1.0,greedy,True,15000.0,5000.0,2000.0,13000.0,0.0,34.0,5.0,4.0,"[5, 10, 12, 15, 21, 9, 23, 25, 22, 20]","[11, 2, 4]"
2.0,strategic,False,13000.0,3000.0,2000.0,10000.0,0.0,26.0,3.0,1.0,"[5, 7, 11, 15, 19, 17, 18]","[10, 9, 10]"
3.0,conservative,False,10000.0,5000.0,0.0,0.0,0.0,44.0,5.0,1.0,[],"[7, 1, 8]"
,,,,,,,,,,,,
1.0,greedy,True,14000.0,5000.0,1000.0,12000.0,0.0,36.0,5.0,2.0,"[4, 9, 19, 23, 25, 30, 21, 22, 17]","[5, 1, 11]"
2.0,strategic,False,9000.0,4000.0,0.0,8000.0,0.0,30.0,4.0,1.0,"[6, 12, 15, 20, 11, 18, 10, 27]","[10, 6, 4]"
3.0,conservative,False,10000.0,5000.0,0.0,0.0,0.0,43.0,5.0,2.0,[],"[10, 2, 3]"
,,,,,,,,,,,,
1.0,greedy,True,11000.0,4000.0,2000.0,9000.0,0.0,37.0,4.0,1.0,"[2, 6, 11, 14, 17, 21, 19, 23, 29]","[11, 10, 2]"
2.0,strategic,False,10000.0,3000.0,2000.0,7000.0,0.0,29.0,3.0,0.0,"[1, 6, 9, 13, 18, 25, 5]","[5, 1, 9]"
3.0,conservative,False,10000.0,5000.0,0.0,0.0,0.0,44.0,5.0,1.0,[],"[10, 4, 8]"
,,,,,,,,,,,,
1.0,greedy,False,13000.0,6000.0,2000.0,9000.0,0.0,34.0,6.0,3.0,"[6, 10, 21, 12, 14, 19, 9, 20, 22]","[8, 1, 10]"
2.0,strategic,False,8000.0,3000.0,0.0,7000.0,0.0,29.0,3.0,0.0,"[2, 13, 21, 23, 25, 26, 18]","[9, 5, 11]"
3.0,conservative,True,15000.0,10000.0,0.0,0.0,0.0,45.0,10.0,9.0,[],"[2, 10, 6]"
,,,,,,,,,,,,
