ID,player_type,winner?,Total_Money,Money_from_GO,Money_from_Chest,Money_from_properties,Starting_Pos,num_moves,Passed_go,Jail,Properties,Chest_Cards
1,greedy,TRUE,11000,4000,2000,9000,0,34,4,2,"[3, 6, 7, 12, 15, 22, 18, 26, 23]","[8, 3, 7]"
2,strategic,FALSE,11000,4000,2000,8000,0,27,4,2,"[3, 5, 11, 17, 20, 21, 4, 19]","[1, 9, 4]"
3,conservative,FALSE,9000,4000,0,0,0,41,4,0,[],"[5, 11, 2]"
,,,,,,,,,,,,
1,greedy,TRUE,15000,5000,2000,13000,0,34,5,4,"[5, 10, 12, 15, 21, 9, 23, 25, 22, 20]","[11, 2, 4]"
2,strategic,FALSE,13000,3000,2000,10000,0,26,3,1,"[5, 7, 11, 15, 19, 17, 18]","[10, 9, 10]"
3,conservative,FALSE,10000,5000,0,0,0,44,5,1,[],"[7, 1, 8]"
,,,,,,,,,,,,
1,greedy,TRUE,14000,5000,1000,12000,0,36,5,2,"[4, 9, 19, 23, 25, 30, 21, 22, 17]","[5, 1, 11]"
2,strategic,FALSE,9000,4000,0,8000,0,30,4,1,"[6, 12, 15, 20, 11, 18, 10, 27]","[10, 6, 4]"
3,conservative,FALSE,10000,5000,0,0,0,43,5,2,[],"[10, 2, 3]"
,,,,,,,,,,,,
1,greedy,TRUE,11000,4000,2000,9000,0,37,4,1,"[2, 6, 11, 14, 17, 21, 19, 23, 29]","[11, 10, 2]"
2,strategic,FALSE,10000,3000,2000,7000,0,29,3,0,"[1, 6, 9, 13, 18, 25, 5]","[5, 1, 9]"
3,conservative,FALSE,10000,5000,0,0,0,44,5,1,[],"[10, 4, 8]"
,,,,,,,,,,,,
1,greedy,FALSE,13000,6000,2000,9000,0,34,6,3,"[6, 10, 21, 12, 14, 19, 9, 20, 22]","[8, 1, 10]"
2,strategic,FALSE,8000,3000,0,7000,0,29,3,0,"[2, 13, 21, 23, 25, 26, 18]","[9, 5, 11]"
3,conservative,TRUE,15000,10000,0,0,0,45,10,9,[],"[2, 10, 6]"
