ID,player_type,winner?,Total_Money,Money_from_GO,Money_from_Chest,Money_from_properties,Starting_Pos,num_moves,path,Passed_go,Jail,Properties,Chest_Cards,Chest Card Payout,Total Wait
,,,,,,,,,,,,,,,
,round,1,181.42956805229187,seconds,1.0,x speed,randomized time:,False,,,,,,,
1.0,greedy,False,21000.0,12000,2000.0,16000,0,59,"[1, 5, 9, 10, 16, 20, 26, 30, 1, 6, 7, 10, 15, 21, 22, 28, 31, 0, 1, 6, 11, 13, 16, 21, 24, 8, 11, 13, 17, 22, 24, 8, 10, 11, 16, 22, 26, 27, 1, 3, 7, 10, 15, 20, 21, 23, 29, 1, 2, 3, 7, 8, 14, 19, 22, 24, 8, 9, 15, 19, 22, 24]",12.0,3.0,"[1, 5, 9, 10, 20, 26, 15, 21, 13, 17, 22, 3, 29, 19]","[8, 3, 7]","[[3, 2000]]",180.1000000000001
2.0,strategic,True,23000.0,13000,3000.0,13000,0,63,"[2, 6, 7, 11, 14, 18, 20, 23, 26, 29, 1, 7, 11, 15, 16, 18, 24, 8, 11, 16, 18, 23, 27, 30, 31, 2, 4, 7, 10, 14, 17, 20, 25, 27, 0, 5, 9, 13, 16, 17, 22, 24, 8, 10, 11, 14, 15, 16, 21, 27, 0, 1, 3, 5, 9, 11, 14, 18, 22, 26, 31, 5, 8, 13, 16]",13.0,2.0,"[2, 6, 7, 11, 14, 18, 23, 27, 30, 25, 31]","[6, 2, 10]","[[2, 2000], [10, 1000]]",181.20000000000007
3.0,conservative,False,20000.0,15000,0.0,0,0,74,"[2, 8, 14, 20, 23, 26, 30, 4, 9, 14, 15, 21, 24, 8, 9, 11, 13, 17, 20, 21, 24, 8, 10, 11, 14, 19, 23, 29, 1, 6, 9, 14, 17, 20, 25, 29, 1, 3, 4, 9, 11, 12, 16, 21, 25, 29, 3, 6, 8, 11, 15, 18, 19, 25, 28, 2, 4, 8, 11, 17, 18, 21, 23, 25, 29, 2, 4, 5, 7, 9, 10, 11, 15, 17, 21, 22]",15.0,2.0,[],"[5, 1, 9]",[],179.90000000000015
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,round,2,182.20405173301697,seconds,1.0,x speed,randomized time:,False,,,,,,,
1.0,greedy,False,19000.0,14000,0.0,12000,0,62,"[2, 8, 14, 15, 16, 22, 26, 28, 31, 5, 7, 10, 15, 17, 18, 24, 8, 12, 13, 15, 20, 22, 25, 31, 4, 6, 10, 14, 16, 19, 21, 22, 27, 0, 6, 10, 16, 22, 24, 8, 9, 10, 15, 18, 24, 8, 14, 20, 25, 28, 2, 7, 10, 12, 16, 17, 23, 25, 26, 28, 1, 5, 9, 13, 16]",14.0,3.0,"[2, 14, 15, 22, 26, 28, 5, 18, 20, 10, 19, 25]","[10, 6, 2]",[],181.00000000000014
2.0,strategic,False,20000.0,12000,1000.0,15000,0,60,"[1, 3, 4, 7, 9, 11, 16, 17, 20, 25, 29, 2, 4, 7, 11, 17, 22, 26, 31, 0, 1, 6, 8, 9, 12, 13, 15, 17, 22, 24, 8, 14, 16, 21, 26, 0, 3, 4, 6, 12, 16, 17, 21, 24, 8, 9, 12, 16, 21, 23, 28, 2, 7, 13, 19, 24, 8, 11, 14, 20, 23, 26, 28]",12.0,3.0,"[1, 3, 4, 7, 9, 17, 11, 31, 6, 21, 12, 23, 13]","[4, 5, 10]","[[10, 1000]]",180.7000000000001
3.0,conservative,True,22000.0,17000,0.0,0,0,74,"[5, 8, 14, 19, 24, 8, 10, 13, 17, 21, 27, 28, 29, 3, 5, 6, 9, 10, 16, 20, 26, 27, 30, 31, 0, 5, 10, 16, 21, 22, 27, 1, 7, 13, 15, 21, 22, 24, 8, 9, 13, 18, 20, 21, 25, 27, 1, 3, 5, 9, 13, 19, 24, 8, 11, 13, 18, 23, 26, 29, 0, 4, 8, 14, 20, 25, 29, 2, 7, 11, 15, 21, 27, 28, 1, 6, 10]",17.0,3.0,[],"[3, 1, 11]",[],181.90000000000015
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,round,3,91.0648958683014,seconds,2.0,x speed,randomized time:,False,,,,,,,
1.0,greedy,True,26000.0,12000,4000.0,19000,0,60,"[2, 3, 9, 14, 17, 21, 24, 8, 10, 11, 12, 15, 21, 23, 25, 28, 31, 3, 7, 10, 15, 21, 25, 29, 1, 6, 11, 16, 18, 22, 27, 1, 3, 7, 12, 17, 19, 23, 24, 8, 9, 15, 17, 20, 22, 26, 30, 0, 6, 8, 10, 14, 15, 17, 20, 22, 23, 29, 1, 7, 9, 14]",12.0,2.0,"[2, 3, 9, 14, 17, 21, 23, 7, 29, 6, 22, 15, 26, 30]","[4, 10, 1]","[[10, 1000], [10, 1000], [1, 2000]]",90.80000000000008
2.0,strategic,False,23000.0,14000,0.0,18000,0,58,"[4, 10, 11, 14, 20, 24, 8, 11, 16, 21, 25, 27, 1, 5, 8, 13, 15, 17, 20, 24, 8, 14, 18, 23, 27, 28, 1, 5, 6, 9, 12, 14, 19, 25, 31, 1, 7, 13, 19, 20, 24, 8, 13, 17, 20, 25, 28, 30, 31, 2, 5, 11, 17, 18, 20, 25, 30, 3, 6, 11, 17]",14.0,3.0,"[4, 10, 11, 20, 25, 27, 1, 5, 18, 12, 19, 31, 13, 28]","[6, 5, 10]",[],89.90000000000006
3.0,conservative,False,21000.0,16000,0.0,0,0,75,"[4, 6, 11, 16, 17, 18, 20, 25, 27, 31, 5, 11, 13, 15, 18, 24, 8, 9, 13, 15, 20, 25, 31, 0, 2, 8, 14, 16, 21, 23, 29, 1, 7, 8, 10, 13, 17, 22, 23, 29, 30, 3, 4, 8, 11, 17, 20, 24, 8, 12, 16, 21, 23, 25, 26, 30, 4, 10, 11, 15, 17, 22, 23, 27, 28, 1, 5, 10, 13, 15, 20, 26, 27, 0, 4, 7, 12]",16.0,2.0,[],"[2, 11, 3]",[],90.20000000000007
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,round,4,91.10913896560669,seconds,2.0,x speed,randomized time:,False,,,,,,,
1.0,greedy,True,23000.0,13000,3000.0,15000,0,61,"[5, 10, 16, 20, 26, 28, 2, 6, 8, 12, 14, 15, 18, 20, 24, 8, 9, 12, 17, 18, 24, 8, 13, 19, 20, 22, 28, 1, 3, 7, 12, 18, 20, 24, 8, 11, 15, 20, 25, 29, 31, 4, 10, 13, 15, 17, 21, 27, 29, 30, 31, 0, 2, 8, 11, 15, 17, 19, 23, 29, 0, 1, 3, 5]",13.0,3.0,"[5, 10, 20, 26, 28, 6, 12, 18, 13, 1, 3, 15, 21]","[5, 2, 11]","[[11, 1000], [11, 1000], [11, 1000]]",90.85000000000008
2.0,strategic,False,22000.0,13000,0.0,18000,0,59,"[2, 4, 7, 11, 17, 22, 23, 28, 2, 6, 10, 11, 14, 20, 25, 29, 0, 4, 5, 11, 12, 18, 19, 24, 8, 11, 17, 20, 25, 28, 0, 6, 10, 14, 20, 26, 27, 29, 31, 3, 8, 14, 18, 22, 23, 25, 30, 1, 2, 7, 8, 10, 12, 18, 21, 26, 0, 3, 6, 8]",13.0,1.0,"[2, 4, 7, 11, 17, 22, 14, 19, 25, 27, 29, 31, 23, 30]","[8, 6, 7]",[],90.55000000000004
3.0,conservative,False,20000.0,15000,0.0,0,0,75,"[2, 8, 12, 14, 15, 18, 20, 24, 8, 9, 10, 14, 19, 23, 26, 28, 30, 4, 8, 13, 18, 20, 23, 27, 29, 2, 4, 8, 11, 16, 17, 20, 22, 25, 29, 30, 3, 4, 9, 11, 17, 19, 22, 26, 30, 0, 2, 7, 8, 14, 16, 22, 27, 0, 1, 5, 11, 17, 21, 22, 24, 8, 10, 13, 18, 19, 23, 28, 0, 6, 10, 15, 17, 21, 26, 27, 30]",15.0,2.0,[],"[3, 10, 4]",[],90.05000000000005
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,round,5,45.5157356262207,seconds,4.0,x speed,randomized time:,False,,,,,,,
1.0,greedy,False,25000.0,11000,4000.0,18000,0,61,"[1, 7, 8, 14, 15, 18, 19, 22, 23, 24, 8, 11, 14, 15, 18, 22, 26, 27, 31, 2, 5, 9, 12, 16, 17, 22, 24, 8, 9, 11, 13, 17, 21, 22, 26, 30, 2, 7, 8, 14, 16, 21, 24, 8, 12, 16, 18, 22, 27, 29, 31, 1, 6, 10, 14, 15, 16, 22, 26, 0, 2, 7, 8, 11]",11.0,3.0,"[7, 14, 15, 18, 19, 22, 26, 2, 17, 21, 12, 29, 31]","[10, 1, 6]","[[10, 1000], [10, 1000], [1, 2000]]",45.12000000000001
2.0,strategic,True,27000.0,12000,5000.0,16000,0,61,"[1, 3, 4, 6, 7, 10, 16, 20, 26, 27, 28, 30, 3, 8, 13, 18, 21, 22, 23, 24, 8, 9, 10, 14, 17, 22, 28, 29, 2, 5, 7, 11, 13, 18, 19, 24, 8, 13, 18, 19, 22, 24, 8, 9, 15, 16, 21, 27, 0, 6, 10, 13, 17, 18, 24, 8, 10, 12, 18, 24, 8, 13, 14, 19, 22, 24, 8]",12.0,6.0,"[1, 3, 4, 6, 10, 20, 13, 9, 28, 11, 27]","[11, 5, 3]","[[11, 1000], [11, 1000], [11, 1000], [3, 2000]]",44.89000000000002
3.0,conservative,False,21000.0,16000,0.0,0,0,75,"[5, 6, 7, 11, 12, 15, 20, 23, 28, 31, 4, 10, 15, 20, 22, 27, 1, 4, 9, 13, 18, 20, 25, 29, 2, 6, 8, 14, 15, 17, 22, 27, 1, 3, 4, 7, 13, 14, 20, 24, 8, 12, 15, 18, 24, 8, 10, 15, 20, 23, 24, 8, 11, 16, 21, 24, 8, 12, 15, 21, 26, 29, 1, 3, 4, 5, 9, 13, 14, 16, 19, 21, 24, 8, 9, 10, 11, 12, 18, 21]",16.0,5.0,[],"[8, 2, 9]",[],45.22000000000002
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,round,6,45.36790633201599,seconds,4.0,x speed,randomized time:,False,,,,,,,
1.0,greedy,False,19000.0,12000,2000.0,12000,0,62,"[3, 4, 10, 14, 15, 18, 24, 8, 9, 13, 17, 20, 24, 8, 14, 18, 24, 8, 10, 12, 15, 16, 18, 24, 8, 11, 13, 18, 21, 26, 27, 28, 31, 1, 2, 6, 10, 13, 16, 22, 26, 28, 2, 4, 7, 10, 15, 17, 21, 22, 28, 0, 3, 5, 11, 17, 19, 22, 28, 0, 5, 8, 9, 10, 11, 14]",12.0,4.0,"[3, 4, 10, 14, 15, 18, 17, 12, 26, 27, 6, 5]","[1, 4, 10]","[[1, 2000]]",45.14000000000001
2.0,strategic,True,24000.0,13000,4000.0,15000,0,59,"[1, 2, 7, 11, 15, 19, 24, 8, 13, 16, 22, 28, 29, 0, 3, 7, 10, 16, 18, 24, 8, 13, 14, 19, 21, 26, 27, 30, 0, 3, 8, 11, 13, 18, 22, 25, 30, 1, 7, 12, 14, 18, 22, 28, 0, 4, 10, 14, 16, 21, 22, 24, 8, 9, 11, 17, 19, 21, 24, 8, 14, 20, 22]",13.0,4.0,"[1, 2, 7, 11, 19, 22, 28, 13, 21, 30, 25, 9, 20]","[2, 9, 11]","[[9, 2000], [11, 1000], [11, 1000]]",44.89000000000001
3.0,conservative,False,22000.0,17000,0.0,0,0,76,"[4, 9, 14, 16, 21, 25, 30, 3, 4, 10, 12, 14, 16, 17, 18, 21, 26, 0, 5, 7, 11, 17, 22, 27, 0, 3, 9, 10, 15, 17, 21, 25, 31, 4, 7, 10, 15, 20, 22, 23, 29, 31, 1, 3, 6, 9, 15, 19, 22, 27, 30, 4, 7, 10, 14, 16, 18, 22, 24, 8, 13, 17, 21, 26, 27, 31, 0, 4, 9, 12, 16, 21, 22, 25, 26, 0, 6]",17.0,1.0,[],"[3, 5, 6]",[],45.06000000000002
,,,,,,,,,,,,,,,
