ID,Player Type,Winner?,Points,Total Money,Money from GO,Money from Chest,Money from properties,Starting Position,Number of Moves,Path,Times Passed Go,Times in Jail,Properties,Chest Cards,Chest Card Payout,Total Wait
,,,,,,,,,,,,,,,,
,game,1,20.106837749481198,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Winner,1.0,18000,5000.0,5000,12000,0,28,"[4, 8, 10, 11, 17, 18, 19, 23, 27, 29, 0, 1, 4, 8, 9, 11, 15, 16, 22, 28, 0, 4, 6, 12, 13, 17, 18, 22]",5.0,0.0,"[4, 10, 11, 17, 23, 27, 9, 22, 13]","[7, 4, 3]","[[7, 3000], [3, 2000]]",20.02
2.0,greedy,Loser,0.0,13000,6000.0,2000,8000,0,29,"[2, 4, 8, 10, 15, 19, 20, 25, 28, 2, 6, 10, 11, 17, 18, 19, 24, 8, 10, 16, 19, 23, 24, 8, 14, 18, 21, 22, 27, 28, 2]",6.0,2.0,"[2, 15, 19, 20, 25, 28, 6, 14]","[10, 2, 11]","[[11, 1000], [11, 1000]]",19.739999999999995
3.0,greedy,Loser,0.0,11000,6000.0,0,7000,0,30,"[2, 5, 7, 11, 12, 18, 21, 25, 28, 31, 1, 7, 10, 15, 17, 20, 23, 28, 0, 6, 11, 12, 15, 17, 22, 24, 8, 14, 16, 17, 21]",6.0,1.0,"[5, 7, 12, 18, 21, 31, 1]","[12, 6, 9]",[],19.89
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,2,20.043102264404297,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,1.0,16000,6000.0,3000,11000,0,26,"[5, 10, 13, 17, 19, 21, 23, 27, 30, 2, 4, 8, 13, 18, 23, 24, 8, 12, 15, 20, 26, 30, 3, 7, 12, 16, 21]",6.0,1.0,"[10, 17, 19, 27, 30, 2, 4, 20, 26]","[11, 8, 10]","[[11, 1000], [11, 1000], [10, 1000]]",19.649999999999995
2.0,greedy,Loser,0.0,13000,6000.0,0,11000,0,28,"[5, 7, 12, 18, 23, 25, 29, 3, 4, 7, 9, 14, 16, 18, 23, 28, 1, 5, 9, 10, 15, 19, 23, 26, 29, 1, 3, 8]",6.0,0.0,"[5, 7, 12, 18, 23, 25, 3, 1, 9]","[6, 2, 5]",[],19.91000000000001
3.0,greedy,Winner,1.0,17000,5000.0,4000,12000,0,27,"[6, 8, 13, 15, 19, 21, 23, 29, 3, 6, 10, 15, 16, 17, 22, 28, 29, 1, 4, 7, 11, 13, 14, 19, 25, 28, 29]",5.0,0.0,"[6, 13, 15, 21, 29, 22, 28, 11, 14]","[1, 9, 3]","[[1, 2000], [3, 2000]]",19.640000000000004
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,3,20.000433206558228,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,1.0,11000,6000.0,0,8000,0,29,"[4, 8, 13, 16, 19, 24, 8, 11, 16, 19, 22, 26, 27, 31, 5, 10, 12, 14, 18, 19, 20, 23, 27, 0, 2, 7, 8, 13, 16, 20]",6.0,1.0,"[4, 13, 19, 26, 27, 31, 5, 2]","[10, 7, 4]",[],19.690000000000005
2.0,greedy,Loser,0.0,13000,6000.0,2000,8000,0,27,"[1, 6, 11, 17, 22, 24, 8, 11, 17, 23, 25, 30, 4, 7, 12, 15, 16, 17, 18, 24, 8, 12, 18, 19, 24, 8, 10, 14, 19, 23]",6.0,3.0,"[1, 11, 17, 22, 25, 30, 7, 12]","[12, 1, 8]","[[1, 2000]]",19.56
3.0,greedy,Winner,2.0,14000,6000.0,3000,8000,0,28,"[6, 10, 11, 15, 18, 23, 24, 8, 10, 11, 14, 20, 24, 8, 11, 13, 17, 18, 20, 26, 27, 31, 5, 9, 13, 18, 20, 26, 27, 0]",6.0,2.0,"[6, 10, 15, 18, 23, 14, 20, 9]","[9, 11, 3]","[[11, 1000], [3, 2000]]",19.68
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,4,20.00092458724976,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
